K11093	U1-70k:AT3G50670
K01802	Roc1:AT4G38740
K01012	Bio2:AT2G43360
K00130	AldH10a9:AT3G48170
K15889	PCME:AT5G15860
K13424	WrkY33:AT2G38470
K01051	AT5G49180:AT5G49180
K03217	Alb4:AT1G24490
K14319	RANGAP2:AT5G19320
K00430	AT5G19890:AT5G19890
K01649	Ims1:AT1G74040
K00895	AT1G20950:AT1G20950
K12450	Rhm1:AT1G78570
K00784	Trz3:AT1G52160
K08736	Msh3:AT4G25540
K09284	Rap2.7:AT2G28550
K02324	Til1:AT1G08260
K02920	AT3G53740:AT3G53740
K06611	STS:AT4G01970
K03128	Taf2:AT1G73960
K08730	AT1G15110:AT1G15110
K00799	GSTU20:AT1G78370
K00696	SPS3F:AT1G04920
K12620	AT1G19120:AT1G19120
K03283	HSC70-1:AT5G02500
K08770	Ubq10:AT4G05320
K05658	PGP18:AT3G28390
K00696	AtsPs4f:AT4G10120
K13335	Sse1:AT2G45690
K01114	NPC2:AT2G26870
K10355	Act7:AT5G09810
K03135	Taf11b:AT1G20000
K03841	AT1G43670:AT1G43670
K10047	Vtc4:AT3G02870
K00753	Fut11:AT3G19280
K03938	AT2G47690:AT2G47690
K01463	Ilr1:AT3G02875
K00784	Trz4:AT3G16260
K02931	AT4G01310:AT4G01310
K01738	OasA1:AT4G14880
K02975	AT4G39200:AT4G39200
K05759	Prf3:AT5G56600
K07874	AtrAb1c:AT4G17530
K00517	Cyp71b10:AT5G57260
K16206	BARS1:AT4G15370
K08486	Syp112:AT2G18260
K11450	Fld:AT3G10390
K14494	RGL2:AT3G03450
K09874	Nip4:AT5G37810
K01762	Acs1:AT3G61510
K15401	CYP86A1:AT5G58860
K12123	PhyE:AT4G18130
K14153	Th1:AT1G22940
K03234	Los1:AT1G56070
K00517	Cyp71b38:AT3G44250
K15397	KCS20:AT5G43760
K00737	AT2G13290:AT2G13290
K02940	Pgy2:AT1G33140
K10575	Ubc13:AT3G46460
K03134	TAFII15:AT4G31720
K01611	SamDc:AT3G02470
K11108	AT5G22100:AT5G22100
K11279	Nap1:AT5G56950
K12448	AT4G20460:AT4G20460
K12741	AT2G41060:AT2G41060
K03936	Nad9:ArthMp007
K03883	Nad5:ArthMp006
K00924	Apk2a:AT1G14370
K01188	BGLU33:AT2G32860
K06269	TOPP1:AT2G29400
K02891	AT5G27770:AT5G27770
K07748	3BETAHSD/D1:AT1G47290
K00231	HemG2:AT5G14220
K03938	AT3G62790:AT3G62790
K00384	NtrB:AT4G35460
K10747	AtlIg1:AT1G08130
K10573	Ubc1:AT1G14400
K12836	ATU2AF35A:AT1G27650
K08233	Mes5:AT5G10300
K01783	AT1G63290:AT1G63290
K00128	ALDH2B4:AT3G48000
K07976	AtgB2:AT4G35860
K13508	GpaT3:AT4G01950
K14399	CLPS5:AT5G39930
K07432	AT4G16710:AT4G16710
K08901	PQL2:AT1G14150
K14319	RANGAP1:AT3G63130
K09422	As1:AT2G37630
K02910	AT5G56710:AT5G56710
K03094	Ask2:AT5G42190
K04797	Pdf5:AT5G23290
K11584	AT3G26020:AT3G26020
K12524	AK-HSDH_II:AT4G19710
K12598	AT1G59760:AT1G59760
K00847	AT1G06030:AT1G06030
K00869	Mk:AT5G27450
K10807	Rnr1:AT2G21790
K00818	Win1:AT1G80600
K12160	SumO1:AT4G26840
K01735	AT5G66120:AT5G66120
K01649	MamL-4:AT1G18500
K13681	Fut6:AT1G14080
K10684	SAE1A:AT4G24940
K14376	PAPS1:AT1G17980
K07953	SARA1A:AT1G09180
K00995	Pgp1:AT2G39290
K09480	Dgd2:AT4G00550
K03065	Rpt5b:AT1G09100
K15397	KCS6:AT1G68530
K02955	AT3G11510:AT3G11510
K05389	Kco3:AT5G46360
K14006	AT1G05520:AT1G05520
K00696	SPS1F:AT5G20280
K00685	Ate2:AT3G11240
K01070	SfgH:AT2G41530
K06067	Hda7:AT5G35600
K02291	PSY:AT5G17230
K02865	AT5G22440:AT5G22440
K13412	Cpk4:AT4G09570
K04354	Atb alpha:AT1G51690
K12616	Vcs:AT3G13300
K09540	AteRdj2a:AT1G79940
K00162	Mab1:AT5G50850
K02150	Vha-e2:AT3G08560
K08176	Apt1:AT5G43370
K00430	AT1G05250:AT1G05250
K05350	BglU44:AT3G18080
K13606	NYC1:AT4G13250
K13789	GgpS4:AT2G18640
K02875	AT4G27090:AT4G27090
K06627	CycA1:AT1G77390
K02885	emb2386:AT1G02780
K03120	Tbp2:AT1G55520
K00430	AT4G08770:AT4G08770
K14399	CLPS3:AT3G04680
K03165	AT2G32000:AT2G32000
K05391	CNGC3:AT2G46430
K02915	AT1G26880:AT1G26880
K11681	Pie1:AT3G12810
K03349	Apc2:AT2G04660
K01738	Cs26:AT3G03630
K03542	Npq4:AT1G44575
K14508	NPR4:AT4G19660
K00475	F3h:AT3G51240
K12192	VPS2.3:AT1G03950
K05387	Glr1.1:AT3G04110
K01953	Asn2:AT5G65010
K01739	AT1G33320:AT1G33320
K02937	AT2G44120:AT2G44120
K08150	Int4:AT4G16480
K01736	EMB1144:AT1G48850
K00430	AT5G05340:AT5G05340
K09338	AthB40:AT4G36740
K00383	GR1:AT3G24170
K08675	Lon4:AT3G05790
K00326	AT5G20080:AT5G20080
K00224	Prr2:AT4G13660
K12881	AT1G66260:AT1G66260
K02552	Ics2:AT1G18870
K05663	Sta1:AT5G58270
K02984	AT3G04840:AT3G04840
K09584	Une5:AT2G47470
K01255	AT4G30920:AT4G30920
K13508	GpaT2:AT1G02390
K00430	AT5G47000:AT5G47000
K00099	Dxr:AT5G62790
K10802	HmgB1:AT3G51880
K01611	Bud2:AT5G18930
K00053	AT3G58610:AT3G58610
K00764	AtaSe1:AT2G16570
K10755	RFC2:AT1G63160
K12446	Ara1:AT4G16130
K00517	Cyp86a4:AT1G01600
K06943	AT1G50920:AT1G50920
K15821	THAS1:AT5G48010
K00036	G6pD4:AT1G09420
K00566	AT1G51310:AT1G51310
K10875	CHR34:AT2G21450
K01853	AtlUp2:AT1G78960
K09580	PDIL1-4:AT5G60640
K01845	Gsa1:AT5G63570
K08490	Syp31:AT5G05760
K13067	Tsm1:AT1G67990
K07385	TPS-CIN:AT3G25820
K11996	Cnx5:AT5G55130
K11251	Hta13:AT3G20670
K12823	DRH1:AT3G01540
K01784	Uge3:AT1G63180
K00703	AtsS2:AT3G01180
K00102	AT5G06580:AT5G06580
K09264	Ap3:AT3G54340
K01193	ATBETAFRUCT4:AT1G12240
K06062	Hag1:AT3G54610
K13960	Ubc37:AT3G24515
K00787	Fps2:AT4G17190
K03231	AT5G60390:AT5G60390
K08915	LHCB4.2:AT3G08940
K14555	TOZ:AT5G16750
K15728	AT3G09560:AT3G09560
K02434	GatB:AT1G48520
K00799	GSTF3:AT2G02930
K02977	AT1G23410:AT1G23410
K00627	AT3G13930:AT3G13930
K13989	DER2.1:AT4G21810
K14498	SNRK2.10:AT1G60940
K09562	Fes1B:AT3G53800
K14306	EMB2766:AT2G45000
K10257	Fad8:AT5G05580
K03243	AT1G76820:AT1G76820
K00522	AtfEr1:AT5G01600
K03217	Oxa1l:AT2G46470
K06617	SIP1:AT1G55740
K10712	AT5G15120:AT5G15120
K14325	Sr45:AT1G16610
K09422	Myb89:AT5G39700
K10875	CHR42:AT5G20420
K02895	AT5G54600:AT5G54600
K01728	AT4G24780:AT4G24780
K12349	AT1G07380:AT1G07380
K01595	AtpPc1:AT1G53310
K12373	HexO3:AT1G65590
K14016	UFD1:AT2G21270
K01641	Mva1:AT4G11820
K10636	RIN2:AT4G25230
K01369	DelTa-vpe:AT3G20210
K03283	Hsp70b:AT1G16030
K00616	AT1G12230:AT1G12230
K06126	AT3G24200:AT3G24200
K08735	Msh2:AT3G18524
K10775	Pal1:AT2G37040
K14431	AT5G06839:AT5G06839
K02684	PolA3:AT5G41880
K12893	ATRSP41:AT5G52040
K02975	AT2G16360:AT2G16360
K03036	Ats9:AT1G29150
K00411	AT5G13440:AT5G13440
K03011	NRPE3B:AT2G15400
K00016	AT4G17260:AT4G17260
K00511	Sqe3:AT4G37760
K02140	AT4G26210:AT4G26210
K13496	DogT1:AT2G36800
K00031	IcdH:AT1G54340
K03094	Ask9:AT3G21850
K03885	Ndb3:AT4G21490
K09338	AthB-8:AT4G32880
K10875	CHR38:AT3G42670
K00517	Cyp71a19:AT4G13290
K13423	WrkY25:AT2G30250
K00799	GSTU19:AT1G78380
K14510	CTR1:AT5G03730
K12669	AT1G61790:AT1G61790
K02896	Stv1:AT3G53020
K14509	ETR1:AT1G66340
K01537	Eca1:AT1G07810
K03115	Ckb3:AT3G60250
K02997	AT5G15200:AT5G15200
K01760	Cbl:AT3G57050
K10845	AT1G12400:AT1G12400
K01115	PLDALPHA2:AT1G52570
K00059	AT4G13180:AT4G13180
K14009	AT3G20450:AT3G20450
K10688	Ubc18:AT5G42990
K11844	Ubp2:AT1G04860
K02981	AT2G41840:AT2G41840
K01714	DHDPS1:AT3G60880
K00927	Pgk:AT1G79550
K00517	Cyp77a9:AT5G04630
K02716	PsbO2:AT3G50820
K07342	AT5G50460:AT5G50460
K01647	Csy5:AT3G60100
K03064	AT1G45000:AT1G45000
K03966	AT3G18410:AT3G18410
K01738	OasB:AT2G43750
K05857	AT3G55940:AT3G55940
K00517	Cyp81d3:AT4G37340
K00218	PorA:AT5G54190
K12356	Ugt72e3:AT5G26310
K02267	AT5G57815:AT5G57815
K08057	CRT1b:AT1G09210
K03094	Ask4:AT1G20140
K03364	FZR3:AT5G13840
K13137	AT3G15610:AT3G15610
K00605	AT1G11860:AT1G11860
K09569	FkbP15-1:AT3G25220
K01784	Uge2:AT4G23920
K10601	AT1G65040:AT1G65040
K06228	Fu:AT1G50240
K01874	Ova1:AT3G55400
K13412	Cpk6:AT2G17290
K13993	HSP18.2:AT5G59720
K00813	Asp2:AT5G19550
K00517	Cyp76g1:AT3G52970
K02266	AT4G37830:AT4G37830
K11842	AtuBp4:AT2G22310
K10570	AtcSa-1:AT1G27840
K01529	Los4:AT3G53110
K08908	LhcA2:AT3G61470
K00430	AT5G24070:AT5G24070
K00800	AT2G45300:AT2G45300
K02921	AT3G10950:AT3G10950
K11147	Ibr1:AT4G05530
K01238	BglU27:AT3G60120
K02606	Orc4:AT2G01120
K06269	TopP4:AT2G39840
K10848	Uvh1:AT5G41150
K05391	Dnd1:AT5G15410
K05953	Nas1:AT5G04950
K02889	AT1G57660:AT1G57660
K00083	AtcAd5:AT4G34230
K02987	AT2G17360:AT2G17360
K09843	Cyp707a2:AT2G29090
K11851	Ubp27:AT4G39370
K12640	Br6Ox2:AT3G30180
K00844	Hkl1:AT1G50460
K11835	Ubp8:AT5G22030
K03514	AT5G53770:AT5G53770
K02934	AT1G74050:AT1G74050
K13415	Bri1:AT4G39400
K06215	PDX1.2:AT3G16050
K02977	Ubq5:AT3G62250
K03843	AT1G78800:AT1G78800
K00965	AT5G18200:AT5G18200
K12349	AT5G58980:AT5G58980
K15397	KCS1:AT1G01120
K12821	PRP40B:AT3G19670
K00106	XDH2:AT4G34900
K11126	AttErt:AT5G16850
K12608	AT1G03905:AT1G03905
K00430	AT5G19880:AT5G19880
K00826	AT5G57850:AT5G57850
K14508	NPR1:AT1G64280
K09422	Myb62:AT1G68320
K12811	AT1G20920:AT1G20920
K06627	CycA1:AT1G44110
K10691	Big:AT3G02260
K00924	CdkB2:AT1G76540
K02605	Orc3:AT5G16690
K12947	AT4G04200:AT4G04200
K02957	AT2G39590:AT2G39590
K09487	Hsp89.1:AT3G07770
K01647	Csy3:AT2G42790
K10643	AT2G28540:AT2G28540
K11129	AT5G08180:AT5G08180
K10355	Act3:AT3G53750
K07573	AT5G38890:AT5G38890
K13448	AT4G26470:AT4G26470
K08472	Mlo2:AT1G11310
K08081	AT2G29320:AT2G29320
K02154	Vha-a3:AT4G39080
K08235	Xtr9:AT4G25820
K16222	CDF1:AT5G62430
K14432	ABF2:AT1G45249
K02966	AT5G15520:AT5G15520
K05658	AT3G28415:AT3G28415
K03798	FtsH6:AT5G15250
K00588	CCoAOMT1:AT4G34050
K13289	ScpL33:AT3G17180
K02962	AT2G05220:AT2G05220
K03155	AtiM:AT5G52910
K00573	PimT2:AT5G50240
K03012	NrpB4:AT5G09920
K09584	PDIL2-3:AT2G32920
K14498	SNRK2.7:AT4G40010
K08493	AT5G39630:AT5G39630
K01662	Cla1:AT4G15560
K14411	AT4G14300:AT4G14300
K00799	GstF5:AT1G02940
K02293	Pds3:AT4G14210
K08850	AtaUr2:AT2G25880
K03259	NcbP:AT5G18110
K02917	AT3G55750:AT3G55750
K02864	AT3G12370:AT3G12370
K12603	AT3G58580:AT3G58580
K12309	BgaL17:AT1G72990
K03113	AT5G54940:AT5G54940
K00517	Cyp705a3:AT4G15360
K10598	PUB49:AT5G67530
K02985	AT2G31610:AT2G31610
K02201	COAD:AT2G18250
K02947	AT5G41520:AT5G41520
K09422	Try:AT5G53200
K03798	FtsH9:AT5G58870
K11982	Rhc1a:AT2G40830
K12625	AT2G43810:AT2G43810
K02154	Vha-a2:AT2G21410
K12626	AT2G03870:AT2G03870
K02212	MCM4:AT2G16440
K08675	Lon1:AT5G26860
K01358	ClpP3:AT1G66670
K13336	PEX3-1:AT3G18160
K01537	Eca3:AT1G10130
K08336	Apg12b:AT3G13970
K01620	Tha1:AT1G08630
K14184	Tps21:AT5G23960
K01762	Acs9:AT3G49700
K01534	Hma2:AT4G30110
K02261	Cox2:ArthMp015
K02152	VatG3:AT4G25950
K01711	Gmd1:AT5G66280
K01648	AclB-1:AT3G06650
K00454	AT1G67560:AT1G67560
K12275	AT3G20920:AT3G20920
K01358	NclPp7:AT5G23140
K02218	Ckl10:AT3G23340
K02877	AT4G16720:AT4G16720
K13448	AT1G76640:AT1G76640
K13289	ScpL22:AT2G24000
K08472	Mlo9:AT1G42560
K02155	Ava-p2:AT1G19910
K00547	Hmt3:AT3G22740
K09264	Agl44:AT2G14210
K12881	ALY4:AT5G37720
K14498	AT1G78290:AT1G78290
K08857	AtnEk5:AT3G20860
K01307	AtgGh2:AT1G78680
K00145	AT2G31100:AT2G31100
K10880	XrcC3:AT5G57450
K02866	SAG24:AT1G66580
K01728	AT5G55720:AT5G55720
K08506	Syp72:AT3G45280
K02973	AT5G02960:AT5G02960
K10867	NBS1:AT3G02680
K00430	RHS19:AT5G67400
K01728	AT3G07010:AT3G07010
K08486	Syp122:AT3G52400
K14190	Vtc2:AT4G26850
K09613	Csn5a:AT1G22920
K03245	AT1G66070:AT1G66070
K01051	AT2G45220:AT2G45220
K03347	AT1G43140:AT1G43140
K00430	AT3G32980:AT3G32980
K03038	Mee34:AT3G11270
K00927	AT1G56190:AT1G56190
K03348	EMB2771:AT5G05560
K01886	Ova9:AT1G25350
K06013	AtsTe24:AT4G01320
K09874	Nip7:AT3G06100
K02267	AT4G28060:AT4G28060
K01762	Acs6:AT4G11280
K12169	Rkp:AT2G22010
K01915	Gs2:AT5G35630
K03010	NrpD2b:AT3G18090
K14004	AT2G30050:AT2G30050
K00430	Rci3:AT1G05260
K05954	Era1:AT5G40280
K02949	AT4G30800:AT4G30800
K02872	AT3G07110:AT3G07110
K02942	AT5G24510:AT5G24510
K08176	Pht3:AT5G43360
K01599	HEME2:AT2G40490
K10666	AT2G23780:AT2G23780
K14556	AT3G21540:AT3G21540
K02868	RPL16B:AT4G18730
K00540	Aox1b:AT3G22360
K00001	Adh1:AT1G77120
K08681	Pdx2:AT5G60540
K03265	Erf1-2:AT1G12920
K14001	AT3G51980:AT3G51980
K04079	HSP81-2:AT5G56030
K09422	Flp:AT1G14350
K00859	AtcOae:AT2G27490
K08486	Syp121:AT3G11820
K03264	AT2G39820:AT2G39820
K06689	UBC8:AT5G41700
K00430	AT5G17820:AT5G17820
K01188	BglU17:AT2G44480
K03094	Ask15:AT3G25650
K00630	Ats1:AT1G32200
K09872	Pip1:AT4G00430
K14006	AT2G21630:AT2G21630
K08493	Vti13:AT3G29100
K00817	Hpa1:AT5G10330
K01280	Tpp2:AT4G20850
K03456	Pp2Aa3:AT1G13320
K11367	Chr5:AT2G13370
K00522	AtfEr4:AT2G40300
K04079	Hsp81.4:AT5G56000
K02350	AtrEv3:AT1G67500
K00514	Zds:AT3G04870
K08675	Lon3:AT3G05780
K10389	Gcp2:AT5G05620
K00430	AT4G08780:AT4G08780
K08486	Syp131:AT3G03800
K00963	UGP2:AT5G17310
K03260	Eif4g:AT3G60240
K00855	Prk:AT1G32060
K02327	EMB2780:AT5G63960
K08472	Mlo14:AT1G26700
K00432	AtgPx4:AT2G48150
K14326	Lba1:AT5G47010
K10875	chr40:AT3G24340
K01237	BglU28:AT2G44460
K00888	PI-4KBETA1:AT5G64070
K12129	Prr7:AT5G02810
K12820	AT5G14900:AT5G14900
K13448	Cml37:AT5G42380
K00873	Pkp-alpha:AT3G22960
K13508	GpaT4:AT1G01610
K02147	AT4G38510:AT4G38510
K01648	AclA-3:AT1G09430
K08242	Smt2:AT1G20330
K01265	Map1d:AT4G37040
K00026	PmdH1:AT2G22780
K00517	Cyp71b25:AT3G26270
K02875	AT2G20450:AT2G20450
K00799	GSTF12:AT5G17220
K03869	CUL3B:AT1G69670
K01834	AT1G22170:AT1G22170
K00873	Pkp3:AT1G32440
K00145	AT2G19940:AT2G19940
K07385	TPS-CIN:AT3G25830
K00813	Asp5:AT4G31990
K03023	AT3G49000:AT3G49000
K13917	AT5G01290:AT5G01290
K03126	EER4:AT1G17440
K12608	POP1:AT5G44110
K01246	AT3G12710:AT3G12710
K06688	Ubc19:AT3G20060
K02961	Rps17:AT1G79850
K00083	Cad3:AT2G21890
K02880	AT1G67430:AT1G67430
K12446	AT3G42850:AT3G42850
K00924	Hsl1:AT1G28440
K00417	AT4G32470:AT4G32470
K00279	Ckx2:AT2G19500
K01814	Apg10:AT2G36230
K12842	AT5G25060:AT5G25060
K09422	Myb113:AT1G66370
K09422	Trb3:AT3G49850
K03434	AT3G58130:AT3G58130
K10599	MAC3B:AT2G33340
K01897	LACS8:AT2G04350
K13448	AT3G59440:AT3G59440
K12624	Sad1:AT5G48870
K01692	EchIa:AT4G16210
K09875	Sip1a:AT3G04090
K00891	SK1:AT2G21940
K13448	AT2G41090:AT2G41090
K00981	CDS2:AT4G22340
K01227	AT5G05460:AT5G05460
K00517	Cyp71b34:AT3G26300
K03141	AT1G55750:AT1G55750
K08902	PSB27:AT1G03600
K01759	AT1G08110:AT1G08110
K00547	Hmt-1:AT3G25900
K09422	Myb52:AT1G17950
K02871	AT3G01790:AT3G01790
K04077	HSP60-2:AT2G33210
K03885	Ndb1:AT4G28220
K14491	RR18:AT5G58080
K10899	RecQl2:AT1G31360
K14004	AT3G01340:AT3G01340
K00549	AtmS3:AT5G20980
K01784	Uge1:AT1G12780
K02492	HemA2:AT1G09940
K13427	Noa1:AT3G47450
K13525	AT3G53230:AT3G53230
K00924	Ckl3:AT4G28880
K06689	UBC30:AT5G56150
K14011	Pux2:AT2G01650
K00432	AtgPx1:AT2G25080
K09569	FkbP15-2:AT5G48580
K01880	AT1G29880:AT1G29880
K12842	AT5G10800:AT5G10800
K11584	AT3G54930:AT3G54930
K01176	Amy1:AT4G25000
K03083	AtsK42:AT1G57870
K01728	AT3G24230:AT3G24230
K11517	AT3G14420:AT3G14420
K13998	Thy-1:AT2G16370
K07975	AraC2:AT5G45970
K14228	TrnL:ArthCt126
K14219	TrnR:ArthCt127
K14227	TrnI:ArthCt124
K14233	TrnS:ArthCt125
K03859	SetH1:AT2G34980
K14270	Acs12:AT5G51690
K10960	AT1G74470:AT1G74470
K11584	ATB'_GAMMA:AT4G15415
K01728	AT5G48900:AT5G48900
K02377	Ger2:AT1G17890
K00469	MioX4:AT4G26260
K09422	Myb61:AT1G09540
K00761	UPP:AT3G53900
K12741	GR-RBP3:AT5G61030
K14544	AT1G63810:AT1G63810
K14498	AT1G10940:AT1G10940
K01057	PGL4:AT5G24410
K00942	AT3G06200:AT3G06200
K09422	Myb117:AT1G26780
K06215	PDX1.1:AT2G38230
K01823	Ipp1:AT5G16440
K13993	AT1G52560:AT1G52560
K09338	AthB20:AT3G01220
K13719	AT1G50670:AT1G50670
K03106	ATHSRP54A:AT1G15310
K00430	AT1G34510:AT1G34510
K02685	AT1G67320:AT1G67320
K02929	AT3G23390:AT3G23390
K14492	ARR9:AT3G57040
K02917	AT1G74270:AT1G74270
K04482	AtrAd51:AT5G20850
K00609	PYRB:AT3G20330
K01733	Mto2:AT4G29840
K01623	AT4G26530:AT4G26530
K12124	Gi:AT1G22770
K02640	PetG:ArthCp041
K02913	Rpl33:ArthCp043
K02697	PsaJ:ArthCp042
K02887	Rpl20:ArthCp045
K02963	Rps18:ArthCp044
K02992	Rps12:ArthCp047
K03798	FtsH12:AT1G79560
K02704	PsbB:ArthCp049
K01358	ClpP:ArthCp048
K05894	Opr3:AT2G06050
K12815	EMB3011:AT5G13010
K02905	AT3G06680:AT3G06680
K02438	Isa1:AT2G39930
K09872	Rd28:AT2G37180
K08517	Sec22:AT1G11890
K12872	AT5G07060:AT5G07060
K00517	Cyp81d4:AT4G37330
K02947	AT5G52650:AT5G52650
K03921	AT5G16240:AT5G16240
K09422	Myb121:AT3G30210
K03353	APC6:AT1G78770
K08496	MemB11:AT2G36900
K00423	AT5G21100:AT5G21100
K12847	AT4G22350:AT4G22350
K03522	ETFALPHA:AT1G50940
K02938	EMB2296:AT2G18020
K00430	AT5G15180:AT5G15180
K14491	APRR4:AT5G49240
K00737	AT5G14480:AT5G14480
K01578	AT4G04320:AT4G04320
K00797	SpdS1:AT1G23820
K12873	AT4G21110:AT4G21110
K03113	AT5G54760:AT5G54760
K13289	ScpL20:AT4G12910
K06943	AT1G10300:AT1G10300
K13151	AT4G24880:AT4G24880
K02962	AT3G10610:AT3G10610
K13034	CysC1:AT3G61440
K08232	MdhAr:AT3G09940
K05279	AtoMt1:AT5G54160
K08486	Syp125:AT1G11250
K11252	Htb4:AT5G59910
K00799	GSTU10:AT1G74590
K10529	Dox1:AT3G01420
K02146	AT3G28715:AT3G28715
K00967	PecT1:AT2G38670
K02146	AT3G28710:AT3G28710
K02945	AT1G71720:AT1G71720
K04506	AT4G27880:AT4G27880
K07375	Tub7:AT2G29550
K14003	Stl2p:AT2G01470
K01087	AT1G35910:AT1G35910
K02358	AT4G02930:AT4G02930
K01872	EMB1030:AT5G22800
K10597	AT5G15400:AT5G15400
K07375	Tub9:AT4G20890
K08516	Ykt61:AT5G58060
K03238	AT5G01940:AT5G01940
K08956	FtsH3:AT2G29080
K00600	Shm1:AT4G37930
K13430	Pbs1:AT5G13160
K01114	NPC1:AT1G07230
K03013	RPB5D:AT2G41340
K03125	Haf2:AT3G19040
K01757	Ss2:AT1G74020
K03850	AT5G02410:AT5G02410
K02438	Isa3:AT4G09020
K03139	AT1G75510:AT1G75510
K11600	Rrp41:AT3G61620
K05605	AT2G30660:AT2G30660
K12885	AT1G60650:AT1G60650
K09590	Br6Ox1:AT5G38970
K08509	SnaP29:AT5G07880
K11596	Zll:AT5G43810
K00924	CdkB2:AT1G20930
K07407	AT3G56310:AT3G56310
K00814	AoaT2:AT1G70580
K12619	XRN2:AT5G42540
K14012	PUX4:AT4G04210
K01883	AT3G56300:AT3G56300
K10686	Ecr1:AT5G19180
K11251	Hta9:AT1G52740
K09422	Myb63:AT1G79180
K00655	Ats2:AT4G30580
K12198	VPS60.2:AT5G04850
K03094	Ask18:AT1G10230
K00030	Idh2:AT2G17130
K08081	Tri:AT2G29330
K03939	AT3G03070:AT3G03070
K08235	Xth21:AT2G18800
K02641	Fnr2:AT1G20020
K00030	Idh1:AT4G35260
K02160	BCCP2:AT5G15530
K09580	PDIL1-6:AT3G16110
K14506	JAR1:AT2G46370
K08150	Int2:AT1G30220
K13412	Cpk31:AT4G04695
K01265	Map2b:AT3G59990
K03017	NRPB9B:AT4G16265
K14489	HK3:AT1G27320
K01674	Aca3:AT5G04180
K09873	Tip5:AT3G47440
K00793	AT2G20690:AT2G20690
K00640	AtsErat3:AT2G17640
K00831	AT2G17630:AT2G17630
K12833	AT5G12190:AT5G12190
K05391	CNGC9:AT4G30560
K14560	AT5G15750:AT5G15750
K01469	Oxp1:AT5G37830
K04565	Csd3:AT5G18100
K10643	AT3G45630:AT3G45630
K06276	Pdk1:AT5G04510
K05391	AtcNgc12:AT2G46450
K01853	Mrn1:AT5G42600
K13412	CdpK19:AT5G19450
K01110	AtpEn2:AT3G19420
K00517	Cyp705a2:AT4G15350
K01058	Dad1:AT2G44810
K11824	alpha-ADR:AT5G22770
K00658	AT4G26910:AT4G26910
K04706	AT5G41580:AT5G41580
K09872	Pip1:AT4G23400
K00587	AtsTe14b:AT5G08335
K10908	Sca3:AT2G24120
K09422	Myb114:AT1G66380
K02987	AT5G58420:AT5G58420
K01613	PSD2:AT5G57190
K02689	PsaA:ArthCp022
K02133	AT5G08680:AT5G08680
K07466	Rpa1a:AT2G06510
K03005	AT3G13940:AT3G13940
K00799	GSTU7:AT2G29420
K11672	AtaRp5:AT3G12380
K09313	AtcAsp:AT3G18480
K12864	AT3G02710:AT3G02710
K11086	Smb:AT4G20440
K03355	Apc8:AT3G48150
K09757	Sng1:AT2G22990
K01876	AT4G31180:AT4G31180
K02980	AT3G44010:AT3G44010
K00454	AT1G72520:AT1G72520
K10355	Act8:AT1G49240
K03553	AT1G79050:AT1G79050
K09422	Myb69:AT4G33450
K05581	NdhJ:ArthCp025
K10703	Pas2:AT5G10480
K12822	AT1G60200:AT1G60200
K09753	Ccr1:AT1G15950
K09680	PANK2:AT4G32180
K14548	AT1G27470:AT1G27470
K01836	Drt101:AT5G18070
K12617	AT4G14990:AT4G14990
K00891	SK2:AT4G39540
K00813	Asp3:AT5G11520
K14156	AT1G74320:AT1G74320
K10760	AtiPt3:AT3G63110
K00517	Cyp86b1:AT5G23190
K01792	AT5G57330:AT5G57330
K00679	AT3G44830:AT3G44830
K12837	ATU2AF65A:AT4G36690
K03875	Skp2b:AT1G77000
K00025	AT1G04410:AT1G04410
K03942	Ci51:AT5G08530
K03267	AT1G18070:AT1G18070
K05658	PGP20:AT3G55320
K12948	AT5G27430:AT5G27430
K01464	PYD2:AT5G12200
K02736	Pbg1:AT1G56450
K05917	CYP51G1:AT1G11680
K12195	VPS20.1:AT5G63880
K00284	Glu2:AT2G41220
K01674	Aca4:AT4G20990
K00167	BCDH_BETA1:AT1G55510
K02925	RP1:AT1G43170
K11838	Ubp13:AT3G11910
K00430	AT1G14550:AT1G14550
K02541	MCM3:AT5G46280
K01755	AT5G10920:AT5G10920
K11858	Ubp26:AT3G49600
K02728	Pac1:AT3G22110
K08099	AtcLh1:AT1G19670
K03364	Fzr2:AT4G22910
K01845	Gsa2:AT3G48730
K03097	CKA1:AT5G67380
K00430	AT4G11290:AT4G11290
K05609	Uch3:AT4G17510
K04649	Ubc27:AT5G50870
K14514	EIL1:AT2G27050
K03680	AT2G44070:AT2G44070
K05356	Sps2:AT1G17050
K15397	KCS16:AT4G34250
K07976	AtfP8:AT3G11730
K14494	RGL3:AT5G17490
K04798	Pdf6:AT1G29990
K02983	AT2G19750:AT2G19750
K00540	Aox1a:AT3G22370
K14431	TGA6:AT3G12250
K08679	Gae2:AT1G02000
K01087	AT4G22590:AT4G22590
K03236	AT2G04520:AT2G04520
K08493	Vti1b:AT1G26670
K00430	AT2G18140:AT2G18140
K01728	AT3G27400:AT3G27400
K02901	AT4G15000:AT4G15000
K14488	AT3G12830:AT3G12830
K00799	GSTF10:AT2G30870
K01188	BGLU22:AT1G66280
K14497	HAI2:AT1G07430
K01673	BCA5:AT4G33580
K13367	AtpAo3:AT3G59050
K12668	AtdAd1:AT1G32210
K00995	PgpS2:AT3G55030
K12623	emb1644:AT5G27720
